number	annpre_mean	coeff_var		
267	35.00	24.00
268	35.00	30.00
272	35.00	18.00
273	35.00	26.00
274	35.00	29.00
275	35.00	22.00
276	35.00	12.00
334	35.00	20.00
335	35.00	25.00
336	35.00	10.00
337	35.00	13.00
338	35.00	21.00
339	35.00	33.00
347	35.00	27.00
348	35.00	34.00
349	35.00	29.00
350	35.00	25.00
351	35.00	23.00
355	35.00	18.00
356	35.00	15.00
357	35.00	29.00
358	35.00	27.00
359	35.00	12.00
417	35.00	20.00
418	35.00	15.00
419	35.00	10.00
420	35.00	19.00
421	35.00	21.00
422	35.00	20.00
423	35.00	34.00
430	35.00	22.00
431	35.00	27.00
432	35.00	25.00
433	35.00	25.00
434	35.00	21.00
435	35.00	30.00
438	35.00	21.00
439	35.00	16.00
440	35.00	28.00
441	35.00	19.00
442	35.00	25.00
443	35.00	15.00
500	35.00	22.00
501	35.00	18.00
502	35.00	21.00
503	35.00	19.00
504	35.00	21.00
505	35.00	30.00
506	35.00	34.00
515	35.00	25.00
516	35.00	20.00
517	35.00	23.00
518	35.00	33.00
521	35.00	19.00
522	35.00	16.00
523	35.00	17.00
524	35.00	19.00
525	35.00	21.00
526	35.00	15.00
585	35.00	14.00
586	35.00	25.00
587	35.00	24.00
588	35.00	17.00
589	35.00	25.00
597	35.00	23.00
598	35.00	27.00
599	35.00	28.00
600	35.00	23.00
601	35.00	28.00
602	35.00	35.00
606	35.00	19.00
607	35.00	29.00
609	35.00	30.00
669	35.00	25.00
670	35.00	22.00
671	35.00	17.00
672	35.00	13.00
680	35.00	23.00
681	35.00	19.00
682	35.00	28.00
683	35.00	23.00
684	35.00	26.00
685	35.00	21.00
692	35.00	21.00
693	35.00	21.00
752	35.00	19.00
753	35.00	21.00
754	35.00	12.00
755	35.00	18.00
756	35.00	19.00
763	35.00	21.00
764	35.00	23.00
765	35.00	22.00
766	35.00	26.00
767	35.00	26.00
768	35.00	27.00
769	35.00	21.00
775	35.00	22.00
776	35.00	28.00
836	35.00	21.00
837	35.00	17.00
838	35.00	18.00
839	35.00	19.00
846	35.00	25.00
847	35.00	23.00
848	35.00	21.00
849	35.00	28.00
850	35.00	28.00
851	35.00	30.00
852	35.00	17.00
858	35.00	22.00
859	35.00	26.00
919	35.00	26.00
920	35.00	16.00
921	35.00	16.00
922	35.00	30.00
929	35.00	13.00
930	35.00	25.00
931	35.00	29.00
932	35.00	28.00
933	35.00	26.00
934	35.00	30.00
935	35.00	17.00
941	35.00	21.00
942	35.00	19.00
1002	35.00	22.00
1003	35.00	16.00
1004	35.00	22.00
1005	35.00	27.00
1006	35.00	34.00
1012	35.00	13.00
1013	35.00	19.00
1014	35.00	29.00
1015	35.00	28.00
1016	35.00	30.00
1017	35.00	29.00
1018	35.00	17.00
1024	35.00	18.00
1025	35.00	19.00
1086	35.00	27.00
1087	35.00	19.00
1088	35.00	27.00
1089	35.00	35.00
1090	35.00	33.00
1095	35.00	4.00
1096	35.00	20.00
1097	35.00	31.00
1098	35.00	20.00
1099	35.00	30.00
1100	35.00	22.00
1101	35.00	17.00
1108	35.00	17.00
1170	35.00	19.00
1171	35.00	29.00
1172	35.00	20.00
1173	35.00	31.00
1174	35.00	30.00
1175	35.00	30.00
1176	35.00	23.00
1177	35.00	13.00
1178	35.00	7.00
1179	35.00	20.00
1180	35.00	23.00
1181	35.00	34.00
1182	35.00	28.00
1183	35.00	24.00
1184	35.00	17.00
1191	35.00	15.00
1192	35.00	15.00
1253	35.00	22.00
1254	35.00	25.00
1255	35.00	20.00
1256	35.00	27.00
1257	35.00	30.00
1258	35.00	33.00
1259	35.00	19.00
1260	35.00	31.00
1261	35.00	24.00
1262	35.00	31.00
1263	35.00	27.00
1264	35.00	34.00
1265	35.00	32.00
1266	35.00	24.00
1274	35.00	17.00
1275	35.00	19.00
1336	35.00	17.00
1337	35.00	27.00
1338	35.00	22.00
1339	35.00	24.00
1340	35.00	26.00
1341	35.00	34.00
1342	35.00	19.00
1343	35.00	20.00
1344	35.00	24.00
1345	35.00	29.00
1346	35.00	27.00
1347	35.00	29.00
1348	35.00	33.00
1349	35.00	27.00
1358	35.00	16.00
1419	35.00	18.00
1420	35.00	27.00
1421	35.00	27.00
1422	35.00	24.00
1423	35.00	26.00
1424	35.00	34.00
1425	35.00	15.00
1426	35.00	15.00
1427	35.00	20.00
1428	35.00	29.00
1429	35.00	29.00
1430	35.00	31.00
1431	35.00	33.00
1432	35.00	23.00
1441	35.00	15.00
1502	35.00	18.00
1503	35.00	18.00
1504	35.00	30.00
1505	35.00	31.00
1506	35.00	24.00
1507	35.00	37.00
1508	35.00	21.00
1509	35.00	15.00
1510	35.00	20.00
1511	35.00	29.00
1512	35.00	34.00
1513	35.00	38.00
1514	35.00	35.00
1515	35.00	35.00
1524	35.00	15.00
1585	35.00	22.00
1586	35.00	28.00
1587	35.00	30.00
1588	35.00	32.00
