plots	anabasis	caragana	desert-shrub	haloxylon	mountain-shrub	mountain-steppe	steppe	salt
203	146.47	NA	NA	NA	NA	NA	NA	NA
204	146.67	NA	NA	NA	NA	NA	NA	NA
205	146.86	NA	NA	NA	NA	NA	NA	NA
206	147.06	NA	NA	NA	NA	NA	NA	NA
207	147.26	NA	NA	NA	NA	NA	NA	NA
208	147.45	NA	NA	NA	NA	NA	NA	NA
209	147.65	NA	NA	NA	NA	NA	NA	NA
210	147.84	NA	NA	NA	NA	NA	NA	NA
211	148.03	NA	NA	NA	NA	NA	NA	NA
212	148.22	NA	NA	NA	NA	NA	NA	NA
213	148.42	NA	NA	NA	NA	NA	NA	NA
214	148.61	NA	NA	NA	NA	NA	NA	NA
215	148.79	NA	NA	NA	NA	NA	NA	NA
216	148.98	NA	NA	NA	NA	NA	NA	NA
217	149.17	NA	NA	NA	NA	NA	NA	NA
218	149.36	NA	NA	NA	NA	NA	NA	NA
219	149.54	NA	NA	NA	NA	NA	NA	NA
220	149.73	NA	NA	NA	NA	NA	NA	NA
221	149.91	NA	NA	NA	NA	NA	NA	NA
222	150.09	NA	NA	NA	NA	NA	NA	NA
223	150.27	NA	NA	NA	NA	NA	NA	NA
224	150.46	NA	NA	NA	NA	NA	NA	NA
225	150.64	NA	NA	NA	NA	NA	NA	NA
226	150.81	NA	NA	NA	NA	NA	NA	NA
227	150.99	NA	NA	NA	NA	NA	NA	NA
228	151.17	NA	NA	NA	NA	NA	NA	NA
229	151.35	NA	NA	NA	NA	NA	NA	NA
230	151.52	NA	NA	NA	NA	NA	NA	NA
231	151.7	NA	NA	NA	NA	NA	NA	NA
232	151.88	NA	NA	NA	NA	NA	NA	NA
233	152.05	NA	NA	NA	NA	NA	NA	NA
234	152.22	NA	NA	NA	NA	NA	NA	NA
235	152.4	NA	NA	NA	NA	NA	NA	NA
236	152.57	NA	NA	NA	NA	NA	NA	NA
237	152.74	NA	NA	NA	NA	NA	NA	NA
238	152.91	NA	NA	NA	NA	NA	NA	NA
239	153.08	NA	NA	NA	NA	NA	NA	NA
240	153.25	NA	NA	NA	NA	NA	NA	NA
241	153.41	NA	NA	NA	NA	NA	NA	NA
242	153.58	NA	NA	NA	NA	NA	NA	NA
243	153.75	NA	NA	NA	NA	NA	NA	NA
244	153.92	NA	NA	NA	NA	NA	NA	NA
245	154.08	NA	NA	NA	NA	NA	NA	NA
246	154.25	NA	NA	NA	NA	NA	NA	NA
247	154.41	NA	NA	NA	NA	NA	NA	NA
248	154.57	NA	NA	NA	NA	NA	NA	NA
249	154.74	NA	NA	NA	NA	NA	NA	NA
250	154.9	NA	NA	NA	NA	NA	NA	NA
251	155.06	NA	NA	NA	NA	NA	NA	NA
252	155.22	NA	NA	NA	NA	NA	NA	NA
253	155.38	NA	NA	NA	NA	NA	NA	NA
254	155.54	NA	NA	NA	NA	NA	NA	NA
255	155.7	NA	NA	NA	NA	NA	NA	NA
256	155.86	NA	NA	NA	NA	NA	NA	NA
257	156.01	NA	NA	NA	NA	NA	NA	NA
258	156.17	NA	NA	NA	NA	NA	NA	NA
259	156.33	NA	NA	NA	NA	NA	NA	NA
260	156.48	NA	NA	NA	NA	NA	NA	NA
261	156.64	NA	NA	NA	NA	NA	NA	NA
262	156.79	NA	NA	NA	NA	NA	NA	NA
263	156.95	NA	NA	NA	NA	NA	NA	NA
264	157.1	NA	NA	NA	NA	NA	NA	NA
265	157.25	NA	NA	NA	NA	NA	NA	NA
266	157.41	NA	NA	NA	NA	NA	NA	NA
267	157.56	NA	NA	NA	NA	NA	NA	NA
268	157.71	NA	NA	NA	NA	NA	NA	NA
269	157.86	NA	NA	NA	NA	NA	NA	NA
270	158.01	NA	NA	NA	NA	NA	NA	NA
271	158.16	NA	NA	NA	NA	NA	NA	NA
272	158.31	NA	NA	NA	NA	NA	NA	NA
273	158.46	NA	NA	NA	NA	NA	NA	NA
274	158.6	NA	NA	NA	NA	NA	NA	NA
275	158.75	NA	NA	NA	NA	NA	NA	NA
276	158.9	NA	NA	NA	NA	NA	NA	NA
277	159.04	NA	NA	NA	NA	NA	NA	NA
278	159.19	NA	NA	NA	NA	NA	NA	NA
279	159.34	NA	NA	NA	NA	NA	NA	NA
280	159.48	NA	NA	NA	NA	NA	NA	NA
281	159.63	NA	NA	NA	NA	NA	NA	NA
282	159.77	NA	NA	NA	NA	NA	NA	NA
283	159.91	NA	NA	NA	NA	NA	NA	NA
284	160.06	NA	NA	NA	NA	NA	NA	NA
285	160.2	NA	NA	NA	NA	NA	NA	NA
286	160.34	NA	NA	NA	NA	NA	NA	NA
287	160.48	NA	NA	NA	NA	NA	NA	NA
288	160.62	NA	NA	NA	NA	NA	NA	NA
289	160.76	NA	NA	NA	NA	NA	NA	NA
290	160.9	NA	NA	NA	NA	NA	NA	NA
291	161.04	NA	NA	NA	NA	NA	NA	NA
292	161.18	NA	NA	NA	NA	NA	NA	NA
293	161.32	NA	NA	NA	NA	NA	NA	NA
294	161.46	NA	NA	NA	NA	NA	NA	NA
295	161.6	NA	NA	NA	NA	NA	NA	NA
296	161.73	NA	NA	NA	NA	NA	NA	NA
