RECNO	POINTNO	LON_EX	LAT_EX	ALT_EX	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE	BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19	ID
90	90	101.9267	36.9935	2999.0000	-17.7000	-15.1000	-9.1000	-3.5000	1.2000	4.7000	7.1000	6.6000	2.7000	-3.1000	-10.2000	-15.6000	-3.4000	-1.2000	3.9000	9.1000	13.1000	16.3000	18.4000	17.8000	13.2000	8.6000	2.4000	-1.8000	2	4	12	27	55	73	103	101	71	26	5	2	481	1.8500	12.3667	34.2567	845.1439	18.4000	-17.7000	36.1000	11.8167	-9.1333	11.8167	-9.1333	481.0000	103.0000	2.0000	96.6904	277.0000	8.0000	277.0000	8.0000	0
91	91	98.3975	35.8906	4609.0000	-25.7000	-22.9000	-17.6000	-11.5000	-6.4000	-2.6000	0.1000	-0.7000	-4.4000	-10.8000	-19.8000	-24.7000	-10.2000	-7.8000	-3.2000	1.6000	5.4000	8.3000	11.2000	11.0000	6.9000	1.1000	-5.3000	-8.6000	4	5	8	13	34	66	77	67	45	17	4	3	343	-5.6917	13.1167	35.5465	867.7946	11.2000	-25.7000	36.9000	4.5500	-15.7167	4.5500	-16.6500	343.0000	77.0000	3.0000	98.6097	210.0000	11.0000	210.0000	12.0000	0
92	92	97.0740	36.3318	2756.0000	-16.2000	-12.4000	-6.0000	-0.3000	4.8000	8.5000	11.1000	10.2000	5.3000	-1.4000	-9.3000	-14.7000	-1.1000	2.5000	8.9000	14.6000	19.1000	22.2000	24.7000	24.3000	19.4000	13.0000	5.2000	0.1000	5	5	7	11	24	51	45	38	24	9	3	4	226	5.5208	14.4417	35.3097	966.1768	24.7000	-16.2000	40.9000	16.8333	-6.0000	16.8333	-6.9667	226.0000	51.0000	3.0000	91.8511	134.0000	12.0000	134.0000	14.0000	0
93	93	96.4858	35.5965	4633.0000	-25.4000	-22.7000	-17.5000	-11.6000	-6.2000	-2.1000	0.6000	-0.2000	-3.9000	-10.8000	-19.8000	-24.4000	-9.4000	-7.2000	-2.5000	2.3000	6.2000	9.2000	12.2000	12.0000	7.7000	1.8000	-4.5000	-7.8000	3	4	6	10	29	60	70	58	42	13	3	3	301	-5.1667	13.6667	36.3475	877.2978	12.2000	-25.4000	37.6000	5.2833	-15.2167	5.2833	-16.1500	301.0000	70.0000	3.0000	102.4692	188.0000	9.0000	188.0000	10.0000	0
94	94	94.5007	36.1847	4118.0000	-23.6000	-21.0000	-15.7000	-9.6000	-3.7000	0.4000	3.2000	2.5000	-1.7000	-9.4000	-17.9000	-22.2000	-7.5000	-4.8000	0.4000	5.7000	9.7000	12.9000	15.7000	15.4000	10.6000	4.4000	-2.2000	-6.1000	1	1	2	4	13	25	33	28	18	4	1	1	131	-2.6875	14.4083	36.6624	921.3481	15.7000	-23.6000	39.3000	8.3500	-13.2500	8.3500	-14.2000	131.0000	33.0000	1.0000	110.5091	86.0000	3.0000	86.0000	3.0000	0
95	95	95.9712	36.9935	2692.0000	-17.6000	-13.7000	-7.0000	-0.9000	4.6000	8.7000	11.4000	10.5000	5.1000	-2.2000	-10.2000	-15.8000	-1.7000	2.1000	8.7000	14.7000	19.3000	22.6000	25.1000	24.6000	19.4000	13.0000	4.8000	-0.3000	2	2	3	4	12	22	21	16	10	3	2	1	98	5.2167	14.9500	35.0117	1012.9330	25.1000	-17.6000	42.7000	17.1500	-6.8000	17.1500	-7.8333	98.0000	22.0000	1.0000	95.6832	59.0000	5.0000	59.0000	5.0000	0
96	96	94.6477	39.1257	3519.0000	-23.9000	-21.2000	-15.2000	-8.8000	-2.6000	1.9000	4.9000	4.3000	-1.6000	-9.3000	-17.1000	-22.1000	-7.3000	-4.7000	0.8000	6.9000	12.0000	15.9000	18.6000	18.2000	12.9000	6.1000	-1.6000	-5.9000	1	1	1	2	10	18	20	14	4	1	1	1	74	-1.6167	15.2167	35.8039	1007.3691	18.6000	-23.9000	42.5000	10.6333	-11.9167	10.6333	-14.1833	74.0000	20.0000	1.0000	118.7289	52.0000	3.0000	52.0000	3.0000	0
97	97	93.6184	39.2728	5158.0000	-30.2000	-28.6000	-24.2000	-18.0000	-11.9000	-7.2000	-4.3000	-4.7000	-9.9000	-17.2000	-24.9000	-28.6000	-14.3000	-13.0000	-9.2000	-3.8000	0.8000	4.8000	7.8000	7.7000	2.6000	-3.7000	-10.0000	-12.7000	1	2	3	6	18	35	43	33	14	4	1	1	161	-10.5292	13.8917	36.5570	897.4951	7.8000	-30.2000	38.0000	0.6833	-20.1167	0.6833	-21.2333	161.0000	43.0000	1.0000	114.3894	111.0000	3.0000	111.0000	4.0000	0
98	98	107.2940	50.7427	919.0000	-29.5000	-27.2000	-16.5000	-6.0000	1.3000	8.5000	11.7000	9.4000	1.8000	-6.7000	-17.6000	-25.8000	-19.1000	-14.7000	-3.2000	7.3000	16.1000	22.5000	23.7000	21.4000	14.4000	4.8000	-7.1000	-16.2000	5	4	4	12	21	63	93	79	41	13	9	7	351	-1.9458	12.2083	22.9480	1539.7247	23.7000	-29.5000	53.2000	16.2000	-18.3667	16.2000	-22.0833	351.0000	93.0000	4.0000	109.1598	235.0000	13.0000	235.0000	16.0000	0
99	99	105.4559	54.6395	814.0000	-33.1000	-31.5000	-22.1000	-9.0000	-1.7000	4.8000	8.9000	7.0000	-0.1000	-8.6000	-20.8000	-29.7000	-23.1000	-17.7000	-5.6000	3.9000	13.2000	20.6000	22.5000	19.7000	12.3000	1.8000	-10.5000	-19.9000	12	9	8	14	28	54	88	84	42	19	19	19	396	-4.9458	12.7583	22.9466	1603.2233	22.5000	-33.1000	55.6000	13.9167	-22.1833	13.9167	-25.8333	396.0000	88.0000	8.0000	85.5344	226.0000	29.0000	226.0000	40.0000	0
100	100	79.5751	44.9342	3503.0000	-28.5000	-27.6000	-19.9000	-11.3000	-6.0000	-1.9000	0.4000	-0.9000	-5.8000	-12.0000	-18.9000	-24.3000	-19.3000	-18.8000	-11.8000	-0.9000	4.5000	9.2000	12.5000	12.1000	7.1000	-1.1000	-10.1000	-15.7000	15	16	28	52	86	94	90	68	50	41	29	23	592	-7.8750	10.3667	25.2846	1125.7795	12.5000	-28.5000	41.0000	3.1167	-22.3667	5.2333	-22.3667	592.0000	94.0000	15.0000	58.8462	270.0000	54.0000	252.0000	54.0000	0
101	101	80.4574	44.7872	3561.0000	-28.9000	-27.7000	-19.9000	-11.4000	-6.3000	-2.3000	0.0000	-1.3000	-6.1000	-12.4000	-19.2000	-24.7000	-20.0000	-19.1000	-11.8000	-0.9000	4.4000	8.8000	12.0000	11.7000	6.9000	-1.2000	-10.3000	-16.3000	12	14	25	50	86	100	97	74	53	37	25	20	593	-8.1667	10.3667	25.3464	1125.2441	12.0000	-28.9000	40.9000	2.7667	-22.7833	4.8167	-22.7833	593.0000	100.0000	12.0000	65.8413	283.0000	46.0000	271.0000	46.0000	0
102	102	82.2220	47.0664	1027.0000	-21.7000	-20.7000	-11.6000	-1.4000	4.9000	9.6000	12.0000	10.0000	4.5000	-2.5000	-10.5000	-17.4000	-10.7000	-9.2000	-1.4000	11.4000	18.8000	23.9000	26.3000	25.3000	19.9000	10.1000	-0.9000	-7.7000	26	24	23	38	43	36	44	25	23	37	41	34	394	2.5417	12.5500	26.1458	1323.9659	26.3000	-21.7000	48.0000	15.9167	-12.5500	17.8500	-14.5667	394.0000	44.0000	23.0000	24.8057	123.0000	73.0000	105.0000	84.0000	0
103	103	79.6486	43.0961	2345.0000	-20.6000	-18.3000	-10.0000	-2.2000	2.6000	6.2000	8.3000	7.1000	2.4000	-4.0000	-11.0000	-16.9000	-9.4000	-7.6000	0.3000	9.9000	14.6000	18.7000	21.3000	20.9000	16.3000	8.7000	-0.5000	-6.6000	10	11	22	42	64	74	65	53	40	30	19	14	444	1.2583	11.9167	28.4407	1095.4946	21.3000	-20.6000	41.9000	11.9500	-13.2333	13.7500	-13.2333	444.0000	74.0000	10.0000	61.5448	203.0000	35.0000	192.0000	35.0000	0
104	104	78.3987	43.6108	657.0000	-12.4000	-10.5000	-2.3000	5.5000	11.3000	15.5000	17.5000	15.7000	10.5000	3.5000	-3.5000	-8.9000	-1.3000	0.5000	8.5000	18.2000	23.9000	28.3000	30.7000	29.8000	24.8000	16.6000	7.2000	1.1000	19	18	28	45	44	38	27	19	21	35	28	22	344	9.5917	12.2000	28.3063	1142.9047	30.7000	-12.4000	43.1000	17.1167	-5.2500	22.9167	-5.2500	344.0000	45.0000	18.0000	33.8646	127.0000	59.0000	84.0000	59.0000	0
105	105	76.1194	43.8313	760.0000	-13.0000	-12.2000	-4.6000	3.8000	9.8000	14.0000	16.2000	14.4000	9.2000	2.5000	-4.3000	-9.3000	-3.4000	-2.3000	4.7000	14.5000	20.9000	25.4000	28.6000	27.6000	22.6000	14.0000	5.0000	-0.7000	22	20	37	61	61	39	23	17	17	37	34	25	393	7.6417	10.8667	26.1218	1134.2816	28.6000	-13.0000	41.6000	14.7333	19.7667	21.0333	-6.8167	393.0000	61.0000	17.0000	46.9642	161.0000	57.0000	79.0000	67.0000	0
106	106	80.3103	42.7285	1812.0000	-18.2000	-15.2000	-6.4000	1.0000	6.0000	9.5000	11.4000	10.2000	5.5000	-1.3000	-8.5000	-14.6000	-6.2000	-3.3000	5.1000	14.4000	19.0000	22.8000	25.1000	24.5000	20.0000	12.6000	3.0000	-3.6000	7	8	16	33	53	61	57	45	33	23	13	10	359	4.7000	12.8333	29.6382	1113.9814	25.1000	-18.2000	43.3000	15.6333	-10.1833	17.2500	-10.1833	359.0000	61.0000	7.0000	66.9201	171.0000	25.0000	163.0000	25.0000	0
107	107	79.7957	41.9932	4509.0000	-30.7000	-28.7000	-21.1000	-13.1000	-8.5000	-5.1000	-2.5000	-3.2000	-7.7000	-14.2000	-21.1000	-27.0000	-20.7000	-19.2000	-12.2000	-2.8000	1.9000	6.2000	9.6000	9.6000	4.9000	-2.5000	-11.2000	-17.3000	3	5	11	23	53	69	71	61	35	16	8	7	362	-9.8583	10.7667	26.7163	1072.5667	9.6000	-30.7000	40.3000	2.4333	-23.9333	2.4333	-23.9333	362.0000	71.0000	3.0000	87.6456	201.0000	15.0000	201.0000	15.0000	0
108	108	-2.9678	37.1891	1180.0000	0.2000	0.8000	2.9000	4.8000	7.7000	11.9000	15.2000	15.4000	12.4000	8.2000	4.1000	1.6000	9.6000	11.1000	13.4000	16.0000	19.4000	25.7000	30.8000	30.2000	25.8000	19.2000	13.8000	9.9000	58	54	63	65	48	19	10	12	27	51	55	61	523	12.9208	11.6417	38.0447	662.0679	30.8000	0.2000	30.6000	8.1667	21.5333	21.6333	5.5333	523.0000	65.0000	10.0000	47.2504	182.0000	41.0000	49.0000	173.0000	0
109	109	-1.2264	40.4040	1035.0000	-1.2000	-0.8000	1.1000	3.7000	7.5000	11.7000	14.9000	15.0000	11.3000	6.2000	1.4000	-0.7000	6.3000	7.9000	11.3000	13.9000	17.9000	22.3000	25.9000	25.9000	21.8000	16.4000	11.4000	8.2000	21	23	35	39	65	57	26	29	48	40	33	28	444	10.8042	9.9250	36.6236	657.4692	25.9000	-1.2000	27.1000	12.8333	3.2833	19.2833	3.2833	444.0000	65.0000	21.0000	36.9499	161.0000	72.0000	112.0000	72.0000	0
110	110	-1.3604	42.0561	541.0000	0.0000	0.7000	3.2000	5.3000	8.9000	11.9000	14.3000	14.3000	12.2000	7.5000	3.3000	1.4000	7.8000	9.6000	13.7000	16.1000	19.9000	24.3000	27.8000	27.6000	24.2000	18.2000	12.2000	8.7000	43	37	44	43	66	54	27	30	43	50	45	56	538	12.2125	10.5917	38.0995	630.1411	27.8000	0.0000	27.8000	14.4000	20.0667	20.0667	4.7000	538.0000	66.0000	27.0000	24.1888	163.0000	100.0000	100.0000	136.0000	0
111	111	-0.6013	41.6095	316.0000	1.5000	2.5000	4.8000	7.0000	10.6000	14.0000	16.5000	16.3000	14.1000	9.5000	5.1000	2.6000	9.4000	11.6000	15.4000	18.2000	21.8000	26.0000	29.5000	28.9000	25.3000	19.2000	13.5000	10.3000	22	23	29	34	50	38	18	23	38	40	33	26	374	13.9000	10.3833	37.0833	636.7246	29.5000	1.5000	28.0000	16.2667	6.3167	21.8667	6.3167	374.0000	50.0000	18.0000	29.9691	122.0000	71.0000	79.0000	71.0000	0
112	112	-1.7176	41.5202	1172.0000	-3.2000	-2.4000	0.0000	2.1000	5.6000	9.3000	11.7000	11.5000	9.3000	4.4000	0.3000	-1.7000	5.0000	7.0000	10.5000	12.9000	16.5000	21.7000	25.2000	24.8000	21.5000	15.0000	9.8000	6.3000	39	37	46	49	75	64	33	35	48	47	42	52	567	9.2958	10.7750	37.9401	637.5965	25.2000	-3.2000	28.4000	11.3500	17.3333	17.3667	1.8333	567.0000	75.0000	33.0000	25.7807	188.0000	116.0000	132.0000	128.0000	0
113	113	18.1076	47.1017	141.0000	-4.0000	-1.7000	1.2000	5.9000	10.2000	13.7000	15.0000	14.5000	11.1000	6.4000	2.3000	-1.8000	1.6000	4.8000	10.4000	16.8000	21.7000	24.9000	27.0000	26.3000	22.5000	16.5000	8.9000	3.4000	38	32	34	39	59	64	44	61	44	33	51	46	545	10.7333	9.3333	30.1075	805.2366	27.0000	-4.0000	31.0000	20.2333	2.0500	20.2333	0.3833	545.0000	64.0000	32.0000	24.5627	169.0000	104.0000	169.0000	116.0000	0
114	114	23.9123	46.6552	370.0000	-7.2000	-4.9000	-0.6000	4.0000	8.6000	11.5000	12.8000	12.3000	8.8000	3.7000	-0.2000	-4.2000	0.6000	3.5000	10.0000	15.6000	20.7000	23.1000	24.9000	24.8000	21.2000	15.4000	7.6000	2.3000	30	28	26	48	75	87	82	67	41	37	34	36	591	8.9292	10.4250	32.4766	807.2863	24.9000	-7.2000	32.1000	16.9333	0.2333	18.2333	-1.6500	591.0000	87.0000	26.0000	45.2629	244.0000	84.0000	236.0000	94.0000	0
115	115	15.2946	49.0663	563.0000	-5.8000	-5.0000	-1.9000	1.7000	6.4000	9.5000	11.0000	10.9000	7.4000	3.1000	-0.8000	-3.9000	0.2000	2.0000	6.9000	12.2000	17.4000	20.3000	22.3000	22.0000	17.8000	12.2000	5.2000	1.5000	37	38	43	50	78	96	96	85	57	42	48	45	715	7.1917	8.9500	31.8505	725.5150	22.3000	-5.8000	28.1000	16.0000	-0.6000	16.0000	-1.8333	715.0000	96.0000	37.0000	38.0129	277.0000	118.0000	277.0000	120.0000	0
116	116	15.5625	48.5305	539.0000	-5.8000	-4.9000	-1.9000	1.9000	6.5000	9.8000	11.2000	11.0000	7.4000	3.1000	-0.7000	-3.9000	0.5000	2.4000	7.3000	12.6000	17.8000	20.8000	22.9000	22.4000	18.2000	12.5000	5.5000	1.6000	37	40	47	54	81	100	99	87	59	44	52	49	749	7.4250	9.2333	32.1719	732.3297	22.9000	-5.8000	28.7000	16.3500	-0.4000	16.3500	-1.6833	749.0000	100.0000	37.0000	36.7791	286.0000	124.0000	286.0000	126.0000	0
117	117	16.4109	48.5752	338.0000	-4.7000	-3.4000	-0.5000	3.4000	7.9000	11.2000	12.6000	12.4000	8.8000	4.3000	0.6000	-2.7000	1.2000	3.5000	8.5000	14.2000	19.4000	22.4000	24.6000	24.1000	19.7000	13.9000	6.9000	2.6000	35	37	41	48	68	82	80	71	50	41	48	43	644	8.7875	9.2583	31.5984	749.1726	24.6000	-4.7000	29.3000	17.8833	0.7667	17.8833	-0.5833	644.0000	82.0000	35.0000	31.4855	233.0000	113.0000	233.0000	115.0000	0
118	118	24.0016	46.6105	402.0000	-7.6000	-5.1000	-0.8000	3.8000	8.4000	11.3000	12.6000	12.1000	8.6000	3.6000	-0.3000	-4.4000	0.5000	3.4000	9.8000	15.4000	20.5000	23.0000	24.7000	24.7000	21.1000	15.4000	7.7000	2.3000	31	28	27	49	76	89	84	68	42	38	35	36	603	8.7792	10.5250	32.5851	806.6329	24.7000	-7.6000	32.3000	16.7500	0.0333	18.0667	-1.8167	603.0000	89.0000	27.0000	45.2222	249.0000	86.0000	241.0000	95.0000	0
119	119	30.1635	47.4142	109.0000	-6.2000	-5.3000	-1.6000	5.0000	10.8000	14.6000	16.2000	15.4000	10.9000	5.6000	0.9000	-3.0000	-0.6000	0.2000	4.8000	13.4000	19.8000	23.8000	25.9000	25.3000	20.5000	13.7000	6.7000	2.2000	38	37	31	36	48	65	70	45	41	27	40	40	518	9.1250	7.7000	23.9875	914.6497	25.9000	-6.2000	32.1000	18.5167	2.7500	20.2000	-2.1167	518.0000	70.0000	27.0000	29.4165	183.0000	104.0000	180.0000	115.0000	0
120	120	31.0119	47.7714	111.0000	-7.0000	-6.2000	-2.5000	4.5000	10.5000	14.7000	16.6000	15.6000	10.5000	5.1000	0.2000	-3.7000	-1.3000	-0.5000	3.9000	13.0000	19.7000	24.3000	26.6000	25.8000	20.3000	13.2000	5.9000	1.4000	37	40	31	34	48	63	61	41	35	27	39	39	495	8.7750	7.8333	23.3135	961.2054	26.6000	-7.0000	33.6000	18.7333	9.2000	20.6000	-2.8833	495.0000	63.0000	27.0000	26.7392	172.0000	101.0000	165.0000	116.0000	0
121	121	33.1105	47.7714	96.0000	-7.4000	-6.7000	-3.0000	4.1000	10.2000	14.2000	16.2000	15.2000	10.0000	4.5000	-0.2000	-3.9000	-1.2000	-0.4000	4.3000	13.9000	21.1000	25.5000	27.8000	27.1000	21.4000	13.9000	6.0000	1.5000	34	32	27	35	44	58	59	41	38	28	36	41	473	8.9208	8.9750	25.4972	985.7103	27.8000	-7.4000	35.2000	19.1667	-2.4000	21.0000	-3.0167	473.0000	59.0000	27.0000	26.0181	161.0000	93.0000	158.0000	107.0000	0
122	122	35.0752	46.7891	27.0000	-5.7000	-5.2000	-1.7000	5.2000	11.4000	15.6000	17.8000	17.0000	11.9000	6.2000	1.6000	-1.9000	0.0000	0.7000	4.9000	13.7000	21.0000	25.7000	28.3000	27.5000	22.1000	14.7000	7.6000	3.1000	36	32	29	30	39	46	43	34	32	24	34	42	421	10.0625	8.0917	23.7990	965.2840	28.3000	-5.7000	34.0000	19.9667	16.5667	21.9833	-1.5000	421.0000	46.0000	24.0000	18.2899	128.0000	90.0000	123.0000	110.0000	0
123	123	34.4501	46.2086	3.0000	-5.0000	-4.4000	-1.2000	5.1000	10.9000	15.0000	17.2000	16.5000	11.5000	6.1000	2.0000	-1.3000	1.0000	1.8000	5.9000	14.2000	21.0000	25.8000	28.5000	27.9000	22.4000	15.3000	8.5000	4.1000	33	29	27	27	39	45	40	31	31	25	33	36	396	10.3667	8.6667	25.8706	920.2577	28.5000	-5.0000	33.5000	19.7333	3.5667	21.8167	-0.6333	396.0000	45.0000	25.0000	18.2277	124.0000	83.0000	116.0000	98.0000	0
124	124	38.1115	47.9500	137.0000	-8.4000	-7.9000	-3.1000	5.0000	11.2000	15.0000	16.9000	16.1000	11.0000	4.7000	-0.4000	-4.5000	-2.3000	-1.6000	3.6000	14.4000	21.4000	25.2000	27.1000	26.4000	20.8000	12.8000	5.2000	0.6000	45	36	32	39	47	60	53	42	38	30	43	55	520	8.7167	8.1667	23.0047	1034.7471	27.1000	-8.4000	35.5000	19.4667	1.7333	21.1167	-4.0167	520.0000	60.0000	30.0000	21.2493	160.0000	107.0000	155.0000	136.0000	0
125	125	32.6194	37.7695	1004.0000	-4.3000	-2.9000	-0.3000	4.3000	8.5000	12.0000	15.0000	14.3000	10.1000	5.5000	1.1000	-2.0000	4.3000	7.1000	11.7000	17.2000	22.2000	26.6000	29.9000	29.5000	25.8000	20.0000	13.1000	6.5000	43	34	33	34	42	23	6	4	10	33	36	45	343	11.4667	12.7167	37.1832	801.4825	29.9000	-4.3000	34.2000	3.1167	20.7667	21.2167	1.4500	343.0000	45.0000	4.0000	50.5989	124.0000	20.0000	33.0000	122.0000	0
126	126	32.9319	39.4216	1162.0000	-4.7000	-3.1000	-0.4000	4.0000	7.8000	11.1000	13.9000	13.8000	10.2000	5.6000	1.0000	-2.6000	2.0000	4.8000	10.1000	15.7000	20.4000	24.8000	28.5000	28.3000	24.4000	17.9000	11.1000	4.2000	46	37	37	47	55	29	10	6	14	27	33	47	388	10.3667	11.3000	34.0361	809.9532	28.5000	-4.7000	33.2000	9.6000	19.8500	20.0667	0.1000	388.0000	55.0000	6.0000	48.8360	139.0000	30.0000	45.0000	130.0000	0
127	127	32.4407	40.0021	1105.0000	-4.7000	-3.2000	-0.4000	3.9000	7.6000	10.6000	13.3000	12.9000	9.4000	5.0000	1.1000	-2.0000	2.7000	5.0000	10.2000	15.5000	20.3000	24.5000	28.1000	28.0000	24.3000	18.0000	11.5000	4.8000	54	43	43	48	56	38	17	13	18	27	33	58	448	10.2667	11.6167	35.4167	775.8729	28.1000	-4.7000	32.8000	0.4333	19.3333	19.5667	0.4333	448.0000	58.0000	13.0000	42.2491	155.0000	48.0000	68.0000	155.0000	0
128	128	34.2715	39.0644	1094.0000	-4.3000	-3.1000	-0.6000	3.6000	7.4000	10.7000	13.7000	13.5000	9.6000	5.2000	1.2000	-1.7000	3.6000	5.8000	10.5000	16.1000	20.8000	25.1000	28.7000	28.7000	24.9000	18.7000	12.2000	6.1000	47	38	41	46	48	35	8	4	12	26	38	51	394	10.6833	12.1667	36.8687	773.3232	28.7000	-4.3000	33.0000	2.8500	19.8500	20.0667	1.0667	394.0000	51.0000	4.0000	50.1943	136.0000	24.0000	47.0000	136.0000	0
129	129	36.1468	38.6179	1471.0000	-9.1000	-7.3000	-3.0000	1.5000	4.7000	7.1000	9.3000	8.9000	5.5000	1.9000	-2.1000	-5.7000	0.1000	2.0000	7.1000	13.5000	18.2000	22.5000	26.6000	27.0000	23.5000	17.0000	9.5000	2.8000	43	37	48	57	58	40	10	9	17	34	43	53	449	7.5625	13.1750	36.4958	804.1487	27.0000	-9.1000	36.1000	7.0000	16.8000	16.9000	-2.8667	449.0000	58.0000	9.0000	45.7187	163.0000	36.0000	59.0000	133.0000	0
130	130	37.3077	39.5556	1455.0000	-8.4000	-6.8000	-2.6000	1.8000	5.3000	7.5000	9.7000	9.2000	5.7000	2.2000	-1.6000	-4.9000	-0.2000	2.0000	7.2000	13.7000	18.6000	22.6000	26.9000	27.3000	23.6000	17.1000	9.8000	2.9000	41	38	46	60	64	37	7	8	15	34	40	47	437	7.8583	12.8667	36.0411	804.1790	27.3000	-8.4000	35.7000	7.3333	17.0667	17.2000	-2.5667	437.0000	64.0000	7.0000	50.3276	170.0000	30.0000	52.0000	126.0000	0
131	131	41.9961	51.6561	169.0000	-13.5000	-13.0000	-7.0000	2.6000	9.2000	13.0000	14.8000	13.5000	8.3000	2.0000	-3.8000	-9.1000	-6.4000	-5.5000	0.0000	12.3000	21.1000	24.8000	26.3000	25.2000	18.9000	9.9000	1.8000	-3.2000	39	28	28	31	39	55	60	44	45	42	50	48	509	5.9250	9.0167	22.6549	1157.4629	26.3000	-13.5000	39.8000	19.6000	-1.7667	19.6000	-8.4500	509.0000	60.0000	28.0000	23.9469	159.0000	87.0000	159.0000	115.0000	0
132	132	44.1394	52.9510	217.0000	-14.9000	-14.9000	-8.8000	1.3000	8.2000	12.3000	14.2000	12.7000	7.3000	1.2000	-5.4000	-10.8000	-7.9000	-7.2000	-1.5000	10.7000	19.8000	23.9000	25.4000	24.1000	17.3000	8.4000	0.0000	-4.8000	39	27	27	36	36	60	71	51	49	48	47	42	533	4.6083	8.8167	21.8776	1189.5049	25.4000	-14.9000	40.3000	18.7667	-3.4000	18.7667	-10.0833	533.0000	71.0000	27.0000	28.9351	182.0000	90.0000	182.0000	108.0000	0
133	133	46.2380	45.1370	-14.0000	-7.4000	-7.1000	-2.0000	5.3000	11.9000	16.7000	19.3000	17.9000	12.3000	5.6000	0.6000	-3.5000	-0.7000	0.2000	6.3000	16.8000	23.8000	28.5000	31.0000	30.1000	23.9000	15.6000	7.6000	2.2000	15	14	16	20	32	36	28	26	25	20	21	19	272	10.6208	9.6417	25.1085	1085.6553	31.0000	-7.4000	38.4000	21.8667	-1.7833	23.9167	-2.7167	272.0000	36.0000	14.0000	30.2942	96.0000	45.0000	90.0000	48.0000	0
134	134	45.4790	42.1007	798.0000	-5.2000	-4.4000	-0.6000	4.2000	9.3000	12.9000	15.9000	15.5000	11.5000	6.4000	1.5000	-2.9000	3.0000	4.0000	8.7000	15.8000	20.9000	24.7000	27.8000	27.2000	23.0000	16.9000	9.9000	5.1000	29	39	53	79	119	126	80	79	64	57	50	34	809	10.4625	10.2417	31.0354	845.1819	27.8000	-5.2000	33.0000	18.5833	-0.0667	20.6667	-0.0667	809.0000	126.0000	29.0000	45.9390	325.0000	102.0000	285.0000	102.0000	0
135	135	44.8092	41.4756	411.0000	-2.8000	-1.6000	1.6000	7.0000	12.0000	15.8000	19.0000	18.6000	14.5000	8.7000	3.7000	-0.8000	6.0000	7.6000	12.0000	19.0000	24.4000	28.1000	31.4000	31.1000	26.5000	20.0000	13.0000	7.8000	21	25	32	44	75	65	41	37	35	41	34	21	471	13.4417	10.9333	31.9688	869.9055	31.4000	-2.8000	34.2000	17.7167	2.7000	24.0000	2.7000	471.0000	75.0000	21.0000	41.6681	184.0000	67.0000	143.0000	67.0000	0
136	136	42.7552	41.4309	2369.0000	-14.6000	-14.2000	-9.9000	-4.4000	-0.4000	1.8000	4.7000	4.7000	1.0000	-2.4000	-6.2000	-11.3000	-3.8000	-3.4000	0.2000	6.4000	11.3000	14.9000	18.6000	19.3000	16.1000	10.5000	3.9000	-1.8000	48	49	49	70	99	108	74	73	61	72	62	57	822	1.7083	11.9500	35.2507	777.2090	19.3000	-14.6000	33.9000	8.4833	-7.6167	10.7333	-8.1833	822.0000	108.0000	48.0000	27.7233	281.0000	146.0000	208.0000	154.0000	0
137	137	32.7980	46.9231	19.0000	-6.1000	-5.2000	-1.8000	4.9000	10.7000	14.7000	16.8000	16.0000	11.0000	5.4000	0.8000	-2.5000	0.0000	1.0000	5.5000	14.5000	21.3000	25.9000	28.3000	27.8000	22.3000	14.9000	7.4000	2.9000	32	30	25	32	41	49	53	36	39	28	34	37	436	9.8542	8.9250	25.9448	953.1132	28.3000	-6.1000	34.4000	19.6167	-1.1000	21.5833	-1.6500	436.0000	53.0000	25.0000	22.7061	143.0000	87.0000	138.0000	99.0000	0
138	138	33.5124	47.2356	73.0000	-7.0000	-6.1000	-2.6000	4.2000	10.2000	14.2000	16.2000	15.3000	10.1000	4.6000	0.2000	-3.2000	-0.7000	0.3000	5.0000	14.3000	21.4000	26.0000	28.3000	27.8000	22.1000	14.5000	6.8000	2.3000	33	31	25	32	43	51	54	37	35	27	35	39	442	9.3417	9.3333	26.4400	971.8839	28.3000	-7.0000	35.3000	19.3833	2.5167	21.3000	-2.4000	442.0000	54.0000	25.0000	23.9170	148.0000	88.0000	142.0000	103.0000	0
139	139	46.9078	43.9314	-17.0000	-5.3000	-4.7000	-0.4000	6.0000	12.5000	17.3000	20.0000	19.0000	13.9000	7.7000	2.4000	-1.9000	1.0000	2.1000	7.2000	16.1000	23.0000	27.6000	30.1000	29.5000	23.8000	16.5000	9.1000	3.7000	17	19	19	28	35	42	27	22	30	30	27	21	317	11.5083	8.6000	24.2938	1009.4594	30.1000	-5.3000	35.4000	17.0833	-0.0167	23.9167	-0.8500	317.0000	42.0000	17.0000	27.7922	105.0000	55.0000	91.0000	57.0000	0
