RECNO	POINTNO	LON_EX	LAT_EX	ALT_EX	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE	BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19	ID
31	31	55.6795	55.6689	150.0000	-19.1000	-18.4000	-11.5000	-0.7000	6.0000	10.8000	13.1000	10.6000	5.8000	-0.5000	-8.5000	-15.1000	-10.5000	-8.4000	-1.1000	9.8000	19.1000	23.4000	25.0000	22.4000	16.2000	6.4000	-2.1000	-7.3000	43	30	26	36	40	64	67	61	57	59	52	44	579	2.7250	10.0333	22.7513	1257.0465	25.0000	-19.1000	44.1000	17.5500	-5.0500	17.5500	-13.1333	579.0000	67.0000	26.0000	28.3639	192.0000	92.0000	192.0000	117.0000	0
32	32	52.3709	47.2135	-24.0000	-12.5000	-12.9000	-5.6000	4.8000	12.2000	17.0000	19.4000	17.5000	11.0000	3.2000	-2.7000	-7.9000	-4.5000	-4.0000	3.5000	17.5000	25.9000	30.7000	33.1000	31.5000	24.4000	14.2000	5.2000	-1.1000	11	10	12	13	14	16	14	14	11	15	17	14	161	9.1625	11.0750	24.0761	1312.0042	33.1000	-12.9000	46.0000	1.8167	-6.0000	24.8667	-7.1500	161.0000	17.0000	10.0000	15.7176	46.0000	33.0000	44.0000	35.0000	0
33	33	56.0471	47.9487	153.0000	-16.1000	-16.6000	-9.1000	2.6000	10.2000	15.3000	18.1000	15.6000	8.9000	0.8000	-5.1000	-11.0000	-7.4000	-6.8000	0.5000	15.3000	24.6000	30.0000	32.5000	30.5000	23.2000	12.2000	2.9000	-4.0000	18	14	14	23	18	16	15	13	13	20	21	22	207	6.9625	11.6583	23.7441	1393.5943	32.5000	-16.6000	49.1000	-0.7000	21.4667	23.6667	-10.3167	207.0000	23.0000	13.0000	20.8469	63.0000	41.0000	44.0000	54.0000	0
34	34	62.6643	50.3751	158.0000	-20.8000	-20.4000	-13.2000	1.1000	9.1000	14.6000	17.1000	14.5000	8.4000	0.1000	-8.0000	-16.0000	-11.7000	-10.8000	-3.8000	12.4000	22.7000	28.4000	30.2000	27.7000	21.5000	10.3000	0.0000	-7.7000	14	11	13	21	19	25	26	24	18	24	21	20	236	4.4042	11.0583	21.6830	1513.2843	30.2000	-20.8000	51.0000	22.0833	-13.4500	22.0833	-14.5667	236.0000	26.0000	11.0000	24.9415	75.0000	38.0000	75.0000	45.0000	0
35	35	64.5025	49.6398	168.0000	-16.8000	-16.4000	-8.8000	3.4000	10.8000	16.2000	18.7000	16.1000	9.7000	1.6000	-5.7000	-12.6000	-8.5000	-7.3000	-0.1000	14.3000	23.8000	29.5000	31.4000	28.9000	22.5000	11.5000	1.7000	-4.9000	15	11	12	20	16	19	18	19	16	24	20	20	210	6.6250	10.5500	21.8880	1417.3350	31.4000	-16.8000	48.2000	-1.4000	-9.6500	23.4667	-11.0833	210.0000	24.0000	11.0000	21.0309	64.0000	38.0000	56.0000	46.0000	0
36	36	62.9584	48.7575	120.0000	-19.2000	-18.9000	-11.3000	2.6000	10.5000	16.1000	18.7000	16.0000	9.5000	1.1000	-6.5000	-14.2000	-10.6000	-9.7000	-2.4000	14.0000	23.8000	29.8000	31.9000	29.3000	22.8000	11.5000	1.2000	-6.5000	12	10	13	19	15	17	15	15	13	21	19	19	188	5.8125	10.8917	21.3144	1515.2214	31.9000	-19.2000	51.1000	-2.2333	-12.0167	23.6333	-13.1833	188.0000	21.0000	10.0000	21.4883	59.0000	35.0000	47.0000	41.0000	0
37	37	65.9730	41.6991	225.0000	-5.7000	-3.5000	2.1000	9.6000	14.9000	19.5000	22.1000	19.4000	13.5000	6.3000	0.9000	-2.8000	2.7000	5.7000	13.0000	22.2000	28.8000	34.4000	36.8000	34.7000	29.0000	20.3000	12.0000	5.6000	26	23	32	31	18	3	3	0	2	12	19	25	194	14.2292	12.4083	29.1961	1111.2594	36.8000	-5.7000	42.5000	8.1833	25.9167	27.8167	0.3333	194.0000	32.0000	0.0000	72.9427	86.0000	5.0000	6.0000	74.0000	0
38	38	67.8111	47.7282	338.0000	-18.6000	-18.4000	-10.6000	1.3000	8.0000	13.3000	16.1000	13.1000	7.0000	-0.6000	-8.1000	-14.6000	-10.0000	-8.9000	-1.4000	13.6000	22.6000	28.3000	30.6000	27.9000	21.9000	11.1000	0.7000	-6.4000	18	13	17	18	19	11	13	13	11	19	15	16	183	4.9125	11.8417	24.0684	1409.4585	30.6000	-18.6000	49.2000	5.5833	21.5500	21.5500	-12.8167	183.0000	19.0000	11.0000	19.5975	54.0000	37.0000	37.0000	47.0000	0
39	39	68.8404	50.6692	329.0000	-21.5000	-21.6000	-14.4000	-1.0000	6.1000	11.5000	14.2000	11.2000	5.4000	-2.0000	-10.8000	-17.6000	-12.0000	-11.3000	-4.5000	10.2000	20.4000	26.1000	28.1000	25.6000	19.9000	8.7000	-2.1000	-8.6000	19	13	14	20	29	25	41	27	20	26	19	19	272	2.5000	11.7500	23.6419	1441.5806	28.1000	-21.6000	49.7000	17.7333	-14.2167	19.4500	-15.4333	272.0000	41.0000	13.0000	33.5111	95.0000	46.0000	93.0000	51.0000	0
40	40	72.1491	48.8310	529.0000	-19.7000	-19.9000	-12.3000	-0.3000	6.7000	12.3000	14.9000	12.2000	6.3000	-1.3000	-9.6000	-16.2000	-10.1000	-9.4000	-2.2000	11.8000	20.8000	26.5000	28.5000	25.9000	20.3000	9.6000	-0.7000	-7.3000	17	14	15	20	29	23	28	21	11	22	19	19	238	3.6167	11.7167	24.2080	1389.3120	28.5000	-19.9000	48.4000	18.2833	-12.2667	20.0500	-13.7667	238.0000	29.0000	11.0000	26.8382	80.0000	46.0000	72.0000	50.0000	0
