MASTER	LON_EX	LAT_EX	ALT_EX	alt_srtm	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE_ALL	SPECIES	SHORTLIVED	PERENIAL	ANNUAL	BIENNIAL	HSCAP	HROS	GEOPHYTES	HCAESP	CHAMAEPHYT	NANOPHANOR	MAKROPHANE	OID_	MASTER_1	COUNT	ggs	ggb	gga	sg	MEAN	PRO	comm_coarse	Comm	slope	aspect	slope_srtm	aspect_srtm	sin_srtm	pro
900	97.9352	43.3448	999	994	-19.6000	-16.7000	-8.2000	0.2000	7.7000	13.7000	15.8000	14.2000	7.6000	-1.0000	-10.4000	-17.0000	-5.2000	-0.6000	7.8000	16.7000	24.2000	29.3000	30.7000	29.2000	23.4000	14.7000	4.0000	-3.3000	1	1	1	2	1	6	14	10	3	2	1	1	43	4	2	2	2	0	2	1	1	1	1	3	0	898	900	1	0	0	1	0	94.80979919434	60.00000000000	7	16	1.6415	349.7490	15.4947	348.4470	0.2665	13.29660000000
901	97.9364	43.3441	993	998	-19.6000	-16.7000	-8.2000	0.2000	7.7000	13.7000	15.8000	14.2000	7.6000	-1.0000	-10.4000	-17.0000	-5.2000	-0.6000	7.8000	16.7000	24.2000	29.3000	30.7000	29.2000	23.4000	14.7000	4.0000	-3.3000	1	1	1	2	1	6	14	10	3	2	1	1	43	5	2	6	1	0	3	1	1	3	1	5	0	899	901	1	0	0	1	0	94.56240081787	60.00000000000	7	18	1.6415	349.7490	15.4947	348.4470	0.2665	13.29660000000
902	97.9597	43.2972	1128	1131	-19.9000	-17.0000	-8.8000	-0.3000	7.0000	12.9000	15.1000	13.4000	7.0000	-1.6000	-10.8000	-17.3000	-5.4000	-1.1000	7.0000	15.9000	23.4000	28.4000	29.9000	28.3000	22.6000	13.9000	3.6000	-3.6000	1	1	1	2	2	7	16	11	4	2	1	1	49	4	2	3	2	0	2	1	1	2	1	2	0	900	902	1	0	0	1	0	94.56240081787	60.00000000000	7	18	1.5049	6.5570	14.1750	7.1672	0.7733	13.29660000000
903	97.9584	43.2967	1112	1133	-19.9000	-17.0000	-8.8000	-0.3000	7.0000	12.9000	15.1000	13.4000	7.0000	-1.6000	-10.8000	-17.3000	-5.4000	-1.1000	7.0000	15.9000	23.4000	28.4000	29.9000	28.3000	22.6000	13.9000	3.6000	-3.6000	1	1	1	2	2	7	16	11	4	2	1	1	49	3	4	1	4	0	0	1	0	1	1	0	0	901	903	1	0	0	1	0	94.56240081787	74.00000000000	7	18	1.5049	6.5570	14.1750	7.1672	0.7733	16.86430000000
905	97.9668	43.1415	1464	1479	-20.4000	-17.7000	-10.2000	-1.9000	5.3000	11.2000	13.4000	11.8000	5.4000	-2.9000	-11.8000	-17.8000	-5.9000	-2.0000	5.4000	14.0000	21.2000	26.3000	27.8000	26.4000	20.7000	12.4000	2.5000	-4.0000	1	1	1	2	3	9	20	14	5	2	1	1	60	1	5	2	5	0	4	2	0	1	0	2	0	903	905	1	0	0	1	0	138.45899963379	117.00000000000	6	8	0.7936	72.3499	10.7587	65.2565	0.6571	24.34170000000
906	97.9685	43.1402	1443	1482	-20.4000	-17.7000	-10.2000	-1.9000	5.3000	11.2000	13.4000	11.8000	5.4000	-2.9000	-11.8000	-17.8000	-5.9000	-2.0000	5.4000	14.0000	21.2000	26.3000	27.8000	26.4000	20.7000	12.4000	2.5000	-4.0000	1	1	1	2	3	9	20	14	5	2	1	1	60	3	1	2	1	0	4	1	1	1	1	3	0	904	906	1	0	0	1	0	138.45899963379	117.00000000000	6	8	0.7936	72.3499	6.7816	100.1760	-0.3476	24.34170000000
907	97.9684	43.1392	1456	1470	-20.4000	-17.7000	-10.2000	-1.9000	5.3000	11.2000	13.4000	11.8000	5.4000	-2.9000	-11.8000	-17.8000	-5.9000	-2.0000	5.4000	14.0000	21.2000	26.3000	27.8000	26.4000	20.7000	12.4000	2.5000	-4.0000	1	1	1	2	3	9	20	14	5	2	1	1	60	8	0	2	0	0	3	0	0	1	1	3	0	905	907	1	0	0	1	0	138.45899963379	104.00000000000	4	13	0.7936	72.3499	6.7816	100.1760	-0.3476	19.67730000000
909	97.9941	43.0796	1422	1427	-20.1000	-17.5000	-9.9000	-1.6000	5.5000	11.5000	13.6000	12.0000	5.7000	-2.7000	-11.7000	-17.6000	-5.6000	-1.8000	5.7000	14.3000	21.5000	26.6000	28.1000	26.7000	21.0000	12.5000	2.7000	-3.8000	1	1	1	2	3	9	19	14	5	2	1	1	59	2	0	2	0	0	2	2	1	1	1	1	0	907	909	1	0	0	1	0	128.92399597168	221.00000000000	5	9	0.7533	124.7780	3.8850	135.0000	0.0884	62.30210000000
910	98.1415	42.9572	1406	1414	-19.8000	-17.2000	-9.7000	-1.5000	5.6000	11.5000	13.8000	12.2000	5.8000	-2.5000	-11.4000	-17.4000	-5.5000	-1.6000	5.8000	14.4000	21.5000	26.6000	28.2000	26.8000	21.1000	12.7000	2.8000	-3.7000	1	1	1	2	3	9	19	14	5	2	1	1	59	3	2	2	2	0	3	1	1	1	1	0	0	908	910	1	0	0	1	0	103.64600372314	74.00000000000	7	16	0.9588	255.4660	8.5493	266.5660	0.4523	16.86430000000
911	98.1444	42.9572	1407	1419	-19.8000	-17.2000	-9.7000	-1.5000	5.6000	11.5000	13.8000	12.2000	5.8000	-2.5000	-11.4000	-17.4000	-5.5000	-1.6000	5.8000	14.4000	21.5000	26.6000	28.2000	26.8000	21.1000	12.7000	2.8000	-3.7000	1	1	1	2	3	9	19	14	5	2	1	1	59	3	2	1	2	0	3	0	1	0	1	1	0	909	911	1	0	0	1	0	103.64600372314	80.00000000000	7	16	0.9588	255.4660	8.5493	266.5660	0.4523	18.69770000000
912	98.1756	42.9577	1457	1474	-19.9000	-17.4000	-10.0000	-1.8000	5.2000	11.3000	13.4000	11.9000	5.6000	-2.7000	-11.6000	-17.5000	-5.6000	-1.8000	5.4000	14.0000	21.1000	26.3000	27.7000	26.5000	20.8000	12.4000	2.6000	-3.8000	1	1	1	2	3	9	20	15	5	2	1	1	61	7	4	1	4	0	0	0	0	1	1	1	0	910	912	1	0	0	1	0	103.64600372314	80.00000000000	7	16	1.0900	255.8540	10.8993	256.9380	-0.6230	18.69770000000
913	98.1760	42.9557	1468	1477	-19.9000	-17.4000	-10.0000	-1.8000	5.2000	11.3000	13.4000	11.9000	5.6000	-2.7000	-11.6000	-17.5000	-5.6000	-1.8000	5.4000	14.0000	21.1000	26.3000	27.7000	26.5000	20.8000	12.4000	2.6000	-3.8000	1	1	1	2	3	9	20	15	5	2	1	1	61	1	4	2	4	0	1	0	1	2	0	2	0	911	913	1	0	0	1	0	103.64600372314	80.00000000000	7	16	1.0900	255.8540	9.8580	253.4430	0.8552	18.69770000000
